"","pathway","pval","padj","ES","NES"
"27","HALLMARK_E2F_TARGETS",NA,NA,-0.493319632490145,NA
"28","HALLMARK_MYC_TARGETS_V1",NA,NA,-0.579899671008535,NA
"29","HALLMARK_MYC_TARGETS_V2",0.35,0.546449054733414,-0.241931060291119,-1.02466089944366
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000999000999000999,0.00264830508474576,0.642535687673008,1.70514231130358
"31","HALLMARK_INFLAMMATORY_RESPONSE",0.000999000999000999,0.00264830508474576,0.654203335265631,1.73473252643448
"32","HALLMARK_XENOBIOTIC_METABOLISM",0.001998001998002,0.00473210999526789,0.50568041214044,1.34029643020537
"33","HALLMARK_FATTY_ACID_METABOLISM",0.859140859140859,0.999000999000999,0.321899092009609,0.845936599056226
"34","HALLMARK_OXIDATIVE_PHOSPHORYLATION",NA,NA,-0.498473141418879,NA
"35","HALLMARK_GLYCOLYSIS",0.450549450549451,0.65402339595888,0.383499451709585,1.01724431121958
"36","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.352156057494867,0.546449054733414,0.437438273659495,1.08694565253247
"37","HALLMARK_P53_PATHWAY",0.000999000999000999,0.00264830508474576,0.541203986635318,1.43556053120786
"38","HALLMARK_UV_RESPONSE_UP",0.002997002997003,0.00674325674325674,0.5123174026749,1.34688718129714
"39","HALLMARK_UV_RESPONSE_DN",0.012987012987013,0.0278293135435993,0.490440643138141,1.28789043125245
"40","HALLMARK_ANGIOGENESIS",0.00105932203389831,0.00264830508474576,0.667032814949014,1.59595757149396
"41","HALLMARK_HEME_METABOLISM",0.87012987012987,0.999000999000999,0.323413466157839,0.856951275050018
"42","HALLMARK_COAGULATION",0.001,0.00264830508474576,0.607843127129303,1.58732605944958
"43","HALLMARK_IL2_STAT5_SIGNALING",0.000999000999000999,0.00264830508474576,0.581121994440226,1.54216445834745
"44","HALLMARK_BILE_ACID_METABOLISM",0.832665330661323,0.999000999000999,0.321679121442564,0.83537849621168
"45","HALLMARK_PEROXISOME",0.731193580742227,0.9426851984525,0.345948992355695,0.895847053868591
"46","HALLMARK_ALLOGRAFT_REJECTION",0.000999000999000999,0.00264830508474576,0.61921432182968,1.64159488724231
"47","HALLMARK_SPERMATOGENESIS",0.592,0.807272727272727,0.372226810460325,0.96983066074531
"48","HALLMARK_KRAS_SIGNALING_UP",0.000999000999000999,0.00264830508474576,0.604828619416459,1.60403512836197
"49","HALLMARK_KRAS_SIGNALING_DN",0.016983016983017,0.0347379892834438,0.474837442435213,1.25737523660552
"50","HALLMARK_PANCREAS_BETA_CELLS",0.198952879581152,0.331588132635253,0.487432345877307,1.18579285402482
